Bevoelkerung nach Geschlecht - Wiener Gemeindebezirk | Population by sex - Vienna districts;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;POP_TOTAL;POP_MEN;POP_WOMEN;REF_DATE
AT1;AT13;AT130;90100;.;68079;.;.;18691231
AT1;AT13;AT130;90200;.;68442;.;.;18691231
AT1;AT13;AT130;90300;.;88678;.;.;18691231
AT1;AT13;AT130;90400;.;55682;.;.;18691231
AT1;AT13;AT130;90500;.;54010;.;.;18691231
AT1;AT13;AT130;90600;.;67642;.;.;18691231
AT1;AT13;AT130;90700;.;80043;.;.;18691231
AT1;AT13;AT130;90800;.;53012;.;.;18691231
AT1;AT13;AT130;90900;.;65910;.;.;18691231
AT1;AT13;AT130;91000;.;22340;.;.;18691231
AT1;AT13;AT130;91100;.;12848;.;.;18691231
AT1;AT13;AT130;91200;.;30589;.;.;18691231
AT1;AT13;AT130;91300;.;9808;.;.;18691231
AT1;AT13;AT130;91400;.;12397;.;.;18691231
AT1;AT13;AT130;91500;.;64042;.;.;18691231
AT1;AT13;AT130;91600;.;31383;.;.;18691231
AT1;AT13;AT130;91700;.;34793;.;.;18691231
AT1;AT13;AT130;91800;.;17879;.;.;18691231
AT1;AT13;AT130;91900;.;17924;.;.;18691231
AT1;AT13;AT130;92000;.;15922;.;.;18691231
AT1;AT13;AT130;92100;.;12022;.;.;18691231
AT1;AT13;AT130;92200;.;3608;.;.;18691231
AT1;AT13;AT130;92300;.;13945;.;.;18691231
AT1;AT13;AT130;90100;.;72688;.;.;18801231
AT1;AT13;AT130;90200;.;100513;.;.;18801231
AT1;AT13;AT130;90300;.;96523;.;.;18801231
AT1;AT13;AT130;90400;.;58336;.;.;18801231
AT1;AT13;AT130;90500;.;67018;.;.;18801231
AT1;AT13;AT130;90600;.;64535;.;.;18801231
AT1;AT13;AT130;90700;.;78143;.;.;18801231
AT1;AT13;AT130;90800;.;50354;.;.;18801231
AT1;AT13;AT130;90900;.;73740;.;.;18801231
AT1;AT13;AT130;91000;.;54681;.;.;18801231
AT1;AT13;AT130;91100;.;21720;.;.;18801231
AT1;AT13;AT130;91200;.;47358;.;.;18801231
AT1;AT13;AT130;91300;.;11585;.;.;18801231
AT1;AT13;AT130;91400;.;20298;.;.;18801231
AT1;AT13;AT130;91500;.;86323;.;.;18801231
AT1;AT13;AT130;91600;.;63074;.;.;18801231
AT1;AT13;AT130;91700;.;63038;.;.;18801231
AT1;AT13;AT130;91800;.;43543;.;.;18801231
AT1;AT13;AT130;91900;.;24018;.;.;18801231
AT1;AT13;AT130;92000;.;17250;.;.;18801231
AT1;AT13;AT130;92100;.;23632;.;.;18801231
